uuid,created_at,query,name,fulladdr,local_name,local_fulladdr,phone_numbers,latitude,longitude,categories,reviews,rating,url,domain,thumbnail,addr1,addr2,addr3,addr4,district,timezone
ChIJFf0qfgX_kT8RJ921f7krGsQ,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,سالن آرایش و زیبایی شعله,خانی آباد نو جنوبی،منطقه ۱۹، تهران، استان تهران،، Iran,,,+982155005200,35.623922799999995,51.393429499999996,Hairdresser,,,,,,خانی آباد نو جنوبی،منطقه ۱۹، تهران، استان تهران،,Iran,,,,Asia/Tehran
ChIJBfnLkMf_kT8R37AylG5wEUU,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,Aghaye Arayeshgar Barber Shop,"Tehran Province, شریعتی جنوبی، منطقه ۱۹، تهران،، Iran",آرایشگاه آقای آرایشگر,استان تهران، شریعتی جنوبی، منطقه ۱۹، تهران،,+989353009188,35.629425999999995,51.376576199999995,Hairdresser,1,5,,,https://lh5.googleusercontent.com/p/AF1QipMr1SXsXUbg9hD6bRfy9yH6hd1LQze_UrFaAMJU,Tehran Province,شریعتی جنوبی، منطقه ۱۹، تهران،,Iran,,,Asia/Tehran
ChIJ2ev0yAr_kT8R1sAvhrb07OI,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,آرایشگاه ستایش,"Tehran Province, Tehran, 56th St, Iran",,,,35.631835099999996,51.3801493,Hair salon,,,,,,Tehran Province,Tehran,56th St,Iran,,Asia/Tehran
ChIJ8-1KX_H_kT8Rrw6nBMEGRVw,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,تاتو تتو اجرا و اموزش,استان تهران، تهران،، خیابان میثاق،، Iran,,,+989019750013,35.6312107,51.386061,Hair salon,,,,,,استان تهران، تهران،,خیابان میثاق،,Iran,,,Asia/Tehran
ChIJPeX7T_r_kT8RtL2RKD-YlxE,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,آرابشگاه میلاد,"Tehran Province, خانی آباد نو جنوبی، منطقه ۱۹، تهران،، Iran",,استان تهران، خانی آباد نو جنوبی، منطقه ۱۹، تهران،,+989197096023,35.6242052,51.3932138,Hairdresser,1,5,,,https://lh5.googleusercontent.com/p/AF1QipN8hOxrOW39K3UN1kOS7DK6wSnKOITXDF4BAow0,Tehran Province,خانی آباد نو جنوبی، منطقه ۱۹، تهران،,Iran,,,Asia/Tehran
ChIJP6n5bO7_kT8ReH8xDnoXNyc,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,خیابان برادران فلاح,"فلاح, تهران، استان تهران،، Iran",,,,35.633581,51.397499499999995,Hair salon,,,,,,"فلاح, تهران، استان تهران،",Iran,,,,Asia/Tehran
ChIJIVkkL0H_kT8RHKO270wCtLQ,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,سالن زیبایی بانو هلان,"Tehran Province, اسفندیاری، منطقه ۱۹، تهران،، Iran",,استان تهران، اسفندیاری، منطقه ۱۹، تهران،,+989359485758,35.6252115,51.3886517,Hair salon,1,5,,,https://lh5.googleusercontent.com/p/AF1QipMRp7UXI-_hj9pA5dfH5GulFmnWQP8y1F0xbBx3,Tehran Province,اسفندیاری، منطقه ۱۹، تهران،,Iran,,,Asia/Tehran
ChIJ8xTERe7_kT8RdB0mqpz7aqU,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,سالن زیبایی ژینوس,استان تهران، تهران، بلوار شقایق، خانه جمال آقاجانلو،، Iran,,,,35.6300081,51.388719099999996,Beauty salon,,,,,,استان تهران، تهران، بلوار شقایق، خانه جمال آقاجانلو،,Iran,,,,Asia/Tehran
ChIJMz4BGcb_kT8RB7Wdwmh9VVE,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,سالن هنر زیبایی شعبه ۱,Tahran Tehran District 12 خانی آباد نو خیابان میعاد شمالی، کوچه ۱۲ پلاک ۱۴، Iran,,,+982155501629,35.632595099999996,51.3887042,Beauty salon,,,,,,Tahran Tehran District 12 خانی آباد نو خیابان میعاد شمالی,کوچه ۱۲ پلاک ۱۴,Iran,,,Asia/Tehran
ChIJNSwQZEv-kT8RIzd8Z-gMyyM,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,Yegane Ara Beauty Salon,"J9HR+Q5W District 19, Tehran, Tehran Province, Iran",آرایشگاه و زیبایی یگانه آرا,J9HR+Q5W منطقه ۱۹، تهران، استان تهران,+982155520074,35.6294955,51.3904542,School,8,3.8,,,https://lh5.googleusercontent.com/p/AF1QipOIvUFtCMMzoR-lEUpmQ7A2j9PftPyQEEvz2B06,J9HR+Q5W District 19,Tehran,Tehran Province,Iran,District 19,Asia/Tehran
